date,stage,match_slug,market_slug,type,group,question,outcome,resolved_price
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-team-total-away-0pt5,soccer_team_totals,South Africa O/U 0.5,Mexico vs. South Africa: South Africa O/U 0.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-team-total-away-0pt5,soccer_team_totals,South Africa O/U 0.5,Mexico vs. South Africa: South Africa O/U 0.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-team-total-away-1pt5,soccer_team_totals,South Africa O/U 1.5,Mexico vs. South Africa: South Africa O/U 1.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-team-total-away-1pt5,soccer_team_totals,South Africa O/U 1.5,Mexico vs. South Africa: South Africa O/U 1.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-team-total-away-2pt5,soccer_team_totals,South Africa O/U 2.5,Mexico vs. South Africa: South Africa O/U 2.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-team-total-away-2pt5,soccer_team_totals,South Africa O/U 2.5,Mexico vs. South Africa: South Africa O/U 2.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-half-team-total-home-0pt5,soccer_first_half_team_totals,Mexico 1st Half O/U 0.5,Mexico vs. South Africa: Mexico 1st Half O/U 0.5,Over,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-half-team-total-home-0pt5,soccer_first_half_team_totals,Mexico 1st Half O/U 0.5,Mexico vs. South Africa: Mexico 1st Half O/U 0.5,Under,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-half-team-total-home-1pt5,soccer_first_half_team_totals,Mexico 1st Half O/U 1.5,Mexico vs. South Africa: Mexico 1st Half O/U 1.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-half-team-total-home-1pt5,soccer_first_half_team_totals,Mexico 1st Half O/U 1.5,Mexico vs. South Africa: Mexico 1st Half O/U 1.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-half-team-total-away-0pt5,soccer_first_half_team_totals,South Africa 1st Half O/U 0.5,Mexico vs. South Africa: South Africa 1st Half O/U 0.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-half-team-total-away-0pt5,soccer_first_half_team_totals,South Africa 1st Half O/U 0.5,Mexico vs. South Africa: South Africa 1st Half O/U 0.5,Under,1
